alpha,H,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
20,0.000E+00,0.000E+00,3.224E-03,0.000E+00,2.331E-03,1.031E-02,3.212E-01,1.719E+00,-2.176E-01,2.783E+00,1.736E+00,3.142E+00,-2.312E-03,2.623E+00,2.585E+00,1.088E-01,3.251E+00,1.812E+00,-2.016E-01,2.181E+00,1.580E+00,3.142E+00,-2.386E-03,2.391E+00,2.357E+00,6.010E-02,4.732E+00
21,0.000E+00,0.000E+00,3.321E-03,0.000E+00,2.419E-03,1.068E-02,3.323E-01,1.719E+00,-2.251E-01,2.826E+00,1.747E+00,3.142E+00,-2.295E-03,2.628E+00,2.591E+00,1.083E-01,3.263E+00,1.807E+00,-2.072E-01,2.183E+00,1.620E+00,3.142E+00,-2.837E-03,2.402E+00,2.361E+00,5.982E-02,4.749E+00
22,0.000E+00,0.000E+00,3.419E-03,0.000E+00,2.507E-03,1.105E-02,3.434E-01,1.718E+00,-2.326E-01,2.870E+00,1.759E+00,3.142E+00,-2.277E-03,2.634E+00,2.597E+00,1.078E-01,3.275E+00,1.803E+00,-2.129E-01,2.185E+00,1.660E+00,3.142E+00,-3.289E-03,2.413E+00,2.364E+00,5.954E-02,4.767E+00
23,0.000E+00,0.000E+00,3.517E-03,0.000E+00,2.595E-03,1.142E-02,3.545E-01,1.718E+00,-2.401E-01,2.913E+00,1.770E+00,3.142E+00,-2.259E-03,2.640E+00,2.603E+00,1.073E-01,3.288E+00,1.799E+00,-2.186E-01,2.187E+00,1.700E+00,3.142E+00,-3.740E-03,2.423E+00,2.368E+00,5.926E-02,4.784E+00
24,0.000E+00,0.000E+00,3.566E-03,0.000E+00,2.639E-03,1.161E-02,3.600E-01,1.717E+00,-2.438E-01,2.934E+00,1.776E+00,3.142E+00,-2.250E-03,2.643E+00,2.606E+00,1.071E-01,3.294E+00,1.797E+00,-2.214E-01,2.188E+00,1.720E+00,3.142E+00,-3.965E-03,2.428E+00,2.370E+00,5.912E-02,4.793E+00
25,0.000E+00,0.000E+00,3.615E-03,0.000E+00,2.683E-03,1.180E-02,3.656E-01,1.717E+00,-2.475E-01,2.956E+00,1.781E+00,3.142E+00,-2.241E-03,2.645E+00,2.609E+00,1.069E-01,3.300E+00,1.795E+00,-2.243E-01,2.189E+00,1.740E+00,3.142E+00,-4.191E-03,2.434E+00,2.372E+00,5.897E-02,4.801E+00
26,0.000E+00,0.000E+00,3.713E-03,0.000E+00,2.771E-03,1.217E-02,3.767E-01,1.717E+00,-2.550E-01,2.999E+00,1.793E+00,3.142E+00,-2.223E-03,2.651E+00,2.615E+00,1.064E-01,3.313E+00,1.791E+00,-2.299E-01,2.191E+00,1.780E+00,3.142E+00,-4.642E-03,2.444E+00,2.375E+00,5.869E-02,4.819E+00
27,0.000E+00,0.000E+00,3.810E-03,0.000E+00,2.859E-03,1.254E-02,3.878E-01,1.716E+00,-2.625E-01,3.042E+00,1.804E+00,3.142E+00,-2.205E-03,2.657E+00,2.620E+00,1.059E-01,3.325E+00,1.787E+00,-2.356E-01,2.193E+00,1.820E+00,3.142E+00,-5.093E-03,2.455E+00,2.379E+00,5.841E-02,4.836E+00
28,0.000E+00,0.000E+00,3.908E-03,0.000E+00,2.947E-03,1.292E-02,3.989E-01,1.716E+00,-2.700E-01,3.086E+00,1.816E+00,3.142E+00,-2.187E-03,2.663E+00,2.626E+00,1.054E-01,3.337E+00,1.784E+00,-2.413E-01,2.195E+00,1.860E+00,3.142E+00,-5.544E-03,2.466E+00,2.383E+00,5.813E-02,4.854E+00
29,0.000E+00,0.000E+00,3.957E-03,0.000E+00,2.991E-03,1.310E-02,4.045E-01,1.716E+00,-2.737E-01,3.107E+00,1.821E+00,3.142E+00,-2.178E-03,2.665E+00,2.629E+00,1.052E-01,3.343E+00,1.782E+00,-2.441E-01,2.196E+00,1.880E+00,3.142E+00,-5.770E-03,2.471E+00,2.385E+00,5.799E-02,4.862E+00
30,0.000E+00,0.000E+00,4.006E-03,0.000E+00,3.035E-03,1.329E-02,4.100E-01,1.715E+00,-2.774E-01,3.129E+00,1.827E+00,3.142E+00,-2.169E-03,2.668E+00,2.632E+00,1.050E-01,3.350E+00,1.780E+00,-2.470E-01,2.197E+00,1.900E+00,3.142E+00,-5.995E-03,2.476E+00,2.387E+00,5.785E-02,4.871E+00
31,0.000E+00,0.000E+00,4.236E-03,0.000E+00,3.320E-03,1.431E-02,4.409E-01,1.710E+00,-2.865E-01,3.221E+00,1.849E+00,3.142E+00,-2.126E-03,2.670E+00,2.634E+00,1.046E-01,3.360E+00,1.734E+00,-2.975E-01,3.044E+00,1.850E+00,3.142E+00,-5.600E-03,2.477E+00,2.393E+00,5.728E-02,4.910E+00
